NAME,DETAILS,TAXONOMY,ORIGIN,COLLECTION,,
CN 110556,205-4,Amaranthus hybridus L.,,PGRC,,
CN 40480,'Zhongshang Yuan',Amaranthus hybridus L.,,PGRC,,
CN 110547,CN 110547,Amaranthus hybridus L.,,PGRC,,
CN 110548,CN 110548,Amaranthus hybridus L.,,PGRC,,
CN 110549,CN 110549,Amaranthus hybridus L.,,PGRC,,
CN 110550,102-1,Amaranthus hybridus L.,,PGRC,,
CN 110551,103-2,Amaranthus hybridus L.,,PGRC,,
CN 110552,104-4,Amaranthus hybridus L.,,PGRC,,
CN 110553,201-3,Amaranthus hybridus L.,,PGRC,,
CN 110554,202-1,Amaranthus hybridus L.,,PGRC,,
CN 110555,204-2,Amaranthus hybridus L.,,PGRC,,
CN 41152,PGR 14202,Amelanchier spicata (Lam.) K. Koch,,PGRC,,
CN 41153,PGR 14203,Amelanchier spicata (Lam.) K. Koch,"Nova Scotia, Canada",PGRC,,
CN 41154,PGR 14204,Amelanchier ×wiegandii E. L. Nielsen,"Nova Scotia, Canada",PGRC,,
CN 42967,'Thiessen',Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,PGRC,,
CN 43204,'Smoky',Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,PGRC,,
CN 31239,PGR 2360,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,PGRC,,
CN 41152,PGR 14202,Amelanchier spicata (Lam.) K. Koch,,PGRC,,
CN 41153,PGR 14203,Amelanchier spicata (Lam.) K. Koch,"Nova Scotia, Canada",PGRC,,
CN 41154,PGR 14204,Amelanchier ×wiegandii E. L. Nielsen,"Nova Scotia, Canada",PGRC,,
CN 42967,'Thiessen',Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,PGRC,,
CN 43204,'Smoky',Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,PGRC,,
CN 31239,PGR 2360,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,,PGRC,,
CN 104446,,Castanea dentata (Marshall) Borkh.,"Ontario, Canada",CCG,,
CN 104447,,Castanea dentata (Marshall) Borkh.,"Ontario, Canada",CCG,,
CN 104448,,Castanea dentata (Marshall) Borkh.,"Ontario, Canada",CCG,,
