SOURCE_OF_TAXON,WUS_SOURCE,TAXON,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,SPECIES,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,CWR,WUS,GENETIC_RELATIONSHIP_NOTES,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,ROUNDED_G_RANK,ROUNDED_N_RANK,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION,COSEWIC_DESC
Davidson 1995,,Abies amabilis,Fir,,Abies,Abies amabilis,NA,NA,Abies amabilis Douglas ex J.Forbes,,,Y,Y,N,,,Y,Forage and Feed,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,G5,N5,"AK(S3), CA(S2), OR(S5), WA(SNR)",BC(S5),
Davidson 1995,Kuhnlein and Turner 2020,Abies balsamea,Fir,,Abies,Abies balsamea,NA,NA,Abies balsamea (L.) Mill.,,,Y,Y,Y,,needles,Y,Forage and Feed,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,G5,N5,"CT(S1), IA(S1), MA(SNR), MD(S1), ME(S5), MI(SNR), MN(SNR), NH(SNR), NJ(S1), NY(S5), OH(SNR), PA(S3S4), RI(SNR), VA(S1), VT(SNR), WI(SNR), WV(S1)","AB(S5), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5), SK(S5)",
Davidson 1995,,Abies grandis,Fir,,Abies,Abies grandis,NA,NA,Abies grandis (Douglas ex D.Don) Lindl.,,,Y,Y,N,,,Y,Forage and Feed,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,G5,N5,"CA(SNR), ID(SNR), MT(S5), OR(S5), WA(SNR)",BC(S5),
Davidson 1995,,Abies lasiocarpa,Fir,,Abies,Abies lasiocarpa,NA,NA,Abies lasiocarpa (Hook.) Nutt.,,,Y,Y,N,,,Y,Forage and Feed,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,G5,NNR,"AK(S4), AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S5), NM(SNR), NN(SNR), NV(S3S4), OR(S5), UT(SNR), WA(SNR), WY(SNR)","AB(SNR), BC(SNR), YT(SNR)",
Davidson 1995,,Acer circinatum,Sugar Maple,,Acer,Acer circinatum,NA,NA,Acer circinatum Pursh,,,Y,Y,N,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,G5,N5,"AK(SNR), CA(SNR), OR(SNR), WA(SNR)",BC(S5),
Davidson 1995,Kuhnlein and Turner 2020,Acer glabrum,Sugar Maple,,Acer,Acer glabrum,NA,NA,Acer glabrum Torr.,,Y,N,Y,Y,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,G5,N5,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S5), NE(S3), NM(SNR), NN(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S4)","AB(S3), BC(S5)",
Davidson 1995,Kuhnlein and Turner 2020,Acer glabrum var. douglasii,Sugar Maple,,Acer,Acer glabrum,var.,douglasii,Acer glabrum var. douglasii (Hook.) Dippel,,Y,Y,Y,Y,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,T5,N5,"AK(SNR), CA(SNR), ID(SNR), MT(SNR), NV(SNR), OR(SNR), WA(SNR), WY(SNR)","AB(S3), BC(S5)",
Davidson 1995,Kuhnlein and Turner 2020,Acer macrophyllum,Sugar Maple,,Acer,Acer macrophyllum,NA,NA,Acer macrophyllum Pursh,,,Y,Y,Y,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,G5,N5,"CA(SNR), OR(S5), WA(SNR)",BC(S5),
Davidson 1995,Kuhnlein and Turner 2020,Acer negundo,Sugar Maple,,Acer,Acer negundo,NA,NA,Acer negundo L.,,Y,N,Y,Y,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,G5,N5,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(P4), IA(S5), ID(SNR), IL(SNR), IN(S5), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNA), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S5), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NN(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), PA(S5), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(SNR)","AB(SU), BC(SNA), MB(S5), NB(SNA), NS(SNA), NT(SNR), ON(S5), ON(S5), PE(SNA), QC(SNA), SK(S5), YT(SNA)",
Davidson 1995,Kuhnlein and Turner 2020,Acer negundo var. negundo,Sugar Maple,,Acer,Acer negundo,var.,negundo,Acer negundo var. negundo,,Y,Y,Y,Y,,,Y,Forage and Feed,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,T5,NNR,"AL(SNR), AR(SNR), CT(SNR), DE(S5), FL(SNR), GA(S5), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(SNA), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5)","MB(SNR), NB(SNA), NS(SNA), ON(SU), PE(SNA), QC(SNA)",
